Company name, Telephone, Email, Website, Country
 H.ESSERS N.V. , 00.32.89.32.32.32 , info@essers.com , www.essers.com, BelgiÃ« 
 HARMONIZE IT BVBA , 00.32.9.336.39.42 , gunther.coppens@harmonize-it.be , www.harmonize-it.be, BelgiÃ« 
 IMCD BENELUX N.V. , 00.32.15.29.49.50 , info@imcd.be , www.imcdgroup.com, BelgiÃ« 
 IMPERIAL CHEMICAL LOGISTICS NV , 003293652069 , tom.vandegucht@imperiallogistics.com , www.vandenanker.com, BelgiÃ« 
 INGRIZO N.V. , +32.9.224.20.25 , info@ingrizo.com , www.ingrizo.com, BelgiÃ« 
 KEYSER & MACKAY C.V. , +32.2.735.40.72 , keymac.be@keymac.com , www.keysermackay.com, BelgiÃ« 
 KREGLINGER EUROPE N.V. , +32(0)3/22 22 044 , info@kreglinger.com , www.kreglinger.com, BelgiÃ« 
 Life SUPPLIES NV , +32 14 57 81 17 , info@life-supplies.com , www.life-supplies.com, BelgiÃ« 
 MANUCHAR NV , 00.32.3.640.92.17 , contact@manuchar.com , www.manuchar.com, BelgiÃ« 
 MEXICO NATIE NV , 00.32.3.303.12.30 , jwillemsen@mexiconatie.be , www.mexiconatie.com, BelgiÃ« 
 NOVUS EUROPE NV/SA , 00.32.2.778.14.11 , info.europe@novusint.com , www.novusint.com, BelgiÃ« 
 OLEON N.V. , 00.32.9.341.10.11 , info@oleon.com , www.oleon.com, BelgiÃ« 
 OOSTVOGELS LOGISTICS BVBA , 00.32.3.317.05.17 , info@oostvogels.be , www.oostvogels.nl, BelgiÃ« 
 PRAYON BENELUX N.V. , 00.32.3.860.18.28 , prayonbenelux@prayon.com , www.prayon.com, BelgiÃ« 
 PVS CHEMICALS BELGIUM N.V. , 00.32.9.257.77.00 , info@pvs.be , www.pvs.be, BelgiÃ« 
 RADERMECKER CHIMIE S.P.R.L. , +32.4.227.53.18 , info@radermecker-chimie.be , www.radermecker-chimie.be, BelgiÃ« 
 RAVAGO CHEMICALS N.V. , 00.32.14.70.14.37  , Wim.VanMuylder@ravagochemicals.com , www.ravagochemicals.com, BelgiÃ« 
 ROAM CHEMIE BVBA , 00.32.11.60.29.78 , walter.busschots@roamchemie.com , www.roamchemie.com, BelgiÃ« 
 SAMPLE NETWORK , 00.32.494.523.440 , info@samplenetwork.com , www.samplenetwork.com, BelgiÃ« 
 SCHOELLER ALLIBERT BVBA , 00.32.11.39.38.38 , info.belgium@schoellerallibert.com , www.schoellerallibert.com, BelgiÃ« 
 SCHUTZ BENELUX B.V. , 00.32.476.356.252 , bert.himpe@schuetz.net , , Nederland 
 SGS BELGIUM N.V. , 00.32.3.545.84.53 , patrick.seldeslachts@sgs.com , www.sgs.com, BelgiÃ« 
 TIGRO INDUSTRIES N.V. , 00.32.11.66.13.75 , info@tigro.com , www.tigro.com, BelgiÃ« 
 TOTAL BELGIUM SA-NV , 02.288 91 11 , etienne.tamigniau@total.com , www.total.com, Belgique 
 TRAFUCO N.V. , +32.3.844.69.69 , info@trafuco.be , www.trafuco.be, BelgiÃ« 
 TRANSPORTS FOCKEDEY S.A. , 00.32.69.66.30.27 , info@fockedey.be , www.fockedey.com, BelgiÃ« 
 UNIPEX BENELUX NV , 00.32.2.761.10.30 , frederic.marquet@unipex.com , www.unipex.com, BelgiÃ« 
 UNIVAR BELGIUM N.V./S.A. , 00.32.2.525.05.11 , univar.benelux@univar.com , www.univar.com, BelgiÃ« 
 VEOLIA ES MRC NV , 00.32.3.560.28.42 , re-duce@ves.be , www.twzgroup.be, BelgiÃ« 
 WIJNGAARDNATIE NV , 00.32.3.542.70.00 , info@wijngaardnatie.be , www.wijngaardnatie.be, BelgiÃ« 
 YARA INDUSTRIAL B.V. , 0031 10 232 22 00 , philippe.gevers@yara.com , www.yara.com, Nederland 
 
